"hours","fpoints","os","db","lang","noother"
15000,1059,"MVS","Other","COBOL",FALSE
1850,234,"MVS","Other","COBOL",FALSE
13033,1533,"MVS","Other","COBOL",FALSE
11742,339,"MVS","IMS","COBOL",TRUE
283,205,"MVS","Other","C",FALSE
17992,420,"MVS","IDMS","COBOL",TRUE
36420,2618,"MVS","IDMS","COBOL",TRUE
24700,749,"MVS","IMS","Other",FALSE
1640,126,"MVS","IDMS","C",TRUE
6761,713,"MVS","IDMS","Other",FALSE
2495,376,"MVS","Other","COBOL",FALSE
3633,724,"MVS","Other","C",NA
5000,306,NA,"IMS","C",TRUE
2550,315,"MVS","INGRESS","COBOL",TRUE
9657,144,"MVS","IDMS","COBOL",TRUE
19283,881,"MVS","IDMS","COBOL",TRUE
8206,911,"MVS","IDMS","COBOL",TRUE
14380,600,"MVS","IDMS","Other",FALSE
28993,655,"MVS","IDMS","COBOL",TRUE
38608,2924,"MVS","IDMS","COBOL",TRUE
20815,1238,"MVS","IDMS","Other",FALSE
72219,3472,"MVS","IDMS","COBOL",TRUE
3499,119,"MVS","IDMS","COBOL",TRUE
12096,442,"MVS","IDMS","Other",FALSE
11702,452,"MVS","IDMS","Other",FALSE
2735,321,"MVS","Other","COBOL",FALSE
14399,805,"MVS","IDMS","COBOL",TRUE
15819,313,"MVS","IDMS","Other",FALSE
5189,202,"MVS","IDMS","Other",FALSE
22420,957,"MVS","IDMS","Other",FALSE
7591,426,"MVS","IDMS","COBOL",TRUE
15550,1105,"MVS","IDMS","COBOL",TRUE
27800,868,"MVS","IMS","C",TRUE
3684,1022,"MVS","IDMS","Other",FALSE
10850,390,"MVS","Other","COBOL",FALSE
3415,105,"MVS","IMS","COBOL",TRUE
18853,746,"MVS","IMS","COBOL",TRUE
38878,1491,"MVS","IDMS","Other",FALSE
996,193,"MVS","IDMS","Other",FALSE
19059,1815,"MVS","IMS","COBOL",TRUE
3800,171,"MVS","IMS","COBOL",TRUE
26822,719,"MVS","IMS","COBOL",TRUE
11402,596,"MVS","IMS","COBOL",TRUE
8848,695,"MVS","IMS","C",TRUE
5091,367,"MVS","IDMS","COBOL",TRUE
2032,301,"MVS","IDMS","Other",FALSE
7958,220,"MVS","IMS","Other",FALSE
3962,369,"MVS","IDMS","COBOL",TRUE
2407,137,"MVS","IDMS","COBOL",TRUE
2281,146,"MVS","IDMS","Other",FALSE
1628,221,"MVS","IDMS","Other",FALSE
4887,672,"MVS","IDMS","Other",FALSE
8260,422,"MVS","IDMS","COBOL",TRUE
638,121,"MVS","Other","C",FALSE
5528,318,"MVS","IDMS","C",TRUE
35555,892,"MVS","IMS","Other",FALSE
2600,181,"MVS","Other","COBOL",FALSE
15508,163,"MVS","IDMS","COBOL",TRUE
1940,653,"Unix","Other","PLI",FALSE
6163,900,"Unix","Other","PLI",FALSE
2248,172,"Unix","INFORMIX","PLI",NA
3153,139,"Unix","INFORMIX","PLI",TRUE
7731,549,"Unix","INFORMIX","Other",FALSE
10288,1339,"Unix","INFORMIX","PLI",TRUE
9857,632,"Unix","IDMS","PLI",TRUE
13849,999,"Unix","INFORMIX","Other",FALSE
18000,1137,"Unix","IDMS","PLI",TRUE
21819,654,"Unix","Other","COBOL",FALSE
2100,342,"Unix","INFORMIX","PLI",TRUE
1264,109,"Unix","Other","PLI",FALSE
3550,360,"Unix","Other","PLI",FALSE
50335,3290,"Unix","Other","PLI",FALSE
4884,496,"Unix","INGRESS","COBOL",TRUE
2760,389,"Unix","INGRESS","PLI",TRUE
2000,534,"Unix","INFORMIX","Other",FALSE
1393,1230,"Unix","INFORMIX","Other",FALSE
4500,268,"Unix","INFORMIX","PLI",TRUE
25360,1190,"Unix","Other","COBOL",FALSE
1400,105,"Unix","INFORMIX","Other",FALSE
3127,328,"Unix","Other","PLI",FALSE
1558,177,"Unix","INFORMIX","PLI",TRUE
6215,273,"Unix","INFORMIX","PLI",TRUE
470,124,"Unix","Other","PLI",FALSE
1086,111,"Unix","Other","PLI",FALSE
980,355,"Unix","Other","PLI",FALSE
1330,321,"Unix","Other","PLI",FALSE
597,206,"Unix","Other","PLI",FALSE
543,102,"Unix","Other","PLI",FALSE
566,130,"Unix","Other","PLI",FALSE
1840,164,"Unix","INFORMIX","PLI",TRUE
1360,278,"Unix","INFORMIX","PLI",TRUE
31581,1391,"Unix","IDMS","PLI",TRUE
3998,499,"Unix","INFORMIX","PLI",TRUE
2193,195,"Unix","INGRESS","PLI",TRUE
3940,243,"Unix","INFORMIX","Other",FALSE
2301,145,"Unix","INGRESS","PLI",TRUE
3288,280,"Unix","INGRESS","PLI",TRUE
6271,362,"Unix","INFORMIX","PLI",TRUE
1474,694,"Unix","INFORMIX","Other",FALSE
2333,212,"Unix","Other","PLI",FALSE
14323,1325,"Unix","INFORMIX","Other",FALSE
6578,227,"Unix","INFORMIX","PLI",TRUE
